/home/ec2-user/data/classinfo/B/B21C.txt.fq.tfidfn 0





/home/ec2-user/data/classinfo/B/B21G.txt.fq.tfidfn 576
ドアインナパネル 0.00573361783399 0.00573361783399
ウェザストリップ 0.00487679237938 0.00487679237938
ウエザーストリップ 0.00505175635545 0.00533673701911
トリム 0.0199755164005 0.0524176581778
バイザー 0.00941074538928 0.0183992948635
アウタパネル 0.00477816489821 0.00477816489821
車両 0.0214621620209 0.17762073154
シェード 0.00924672075639 0.0429122771922
ドアアウタパネル 0.00313912878371 0.00313912878371
ピラー 0.00361162606304 0.0177822817286
ウインドウ 0.0202785792666 0.0202785792666
車外 0.00614569886063 0.0175397144787
ウインドレギュレータ 0.0040761192568 0.00486842071256
リヤドア 0.00265031480776 0.00265031480776
ハーネス 0.0141951067799 0.100248762532
ドアヒンジ 0.00316083139852 0.00763285722648
木目込み 0.0012113857011 0.00135387413425
ライカ 0.00622976412119 0.0123103525115
ドアアウターパネル 0.00156341804852 0.00156341804852
フロントガラス 0.00433116180995 0.012401435275
モールディング 0.0058625775931 0.00745908611925
パネル 0.0660010183495 0.112408340054
扉 0.0250718202252 0.184361702708
ウィンド 0.0138501397215 0.0138501397215
日除け 0.00401490168964 0.0180822920011
バイザ 0.00294174364055 0.0075760266274
アウターパネル 0.00192128570281 0.00192128570281
ラッチ 0.00179662199361 0.069483979255
ガーニッシュ 0.000153232152215 0.00304793236758
乗員 0.0482221682986 0.0482221682986
イザ 0.0190770598495 0.0190770598495
ドアウエザストリップ 0.000906305803043 0.000906305803043
ウィンドウ 0.00795467108936 0.0158802646089
自動車 0.00199309624351 0.0626940788731
車内 0.000562708460791 0.0330023032699
ドアウェザーストリップ 0.00106162934969 0.00106162934969
ウインドモールディング 0.00096134419123 0.00096134419123
施錠 0.037061854489 0.0465535479913
窓 0.0312878266242 0.0834257071137
ウインドウモールディング 0.000942255017564 0.00102196824496
モール 0.0181477090668 0.0870213043523
乗降 0.00422796348516 0.0457717893084
ベルトライン 0.00207269466639 0.00207269466639
インサイド 0.00176233484281 0.00341977147459
プルハンドル 0.00120805391511 0.00120805391511
レバー 0.0298486986137 0.139874919035
ザーストリップ 0.00125641576609 0.00125641576609
サンルーフリッド 0.000992918397984 0.000992918397984
席 0.0439760763981 0.0517290128753
キャビン 0.000735553973671 0.00967566226261
ロアサッシュ 0.000753322452541 0.000753322452541
ウイング 0.00515684956296 0.00556527620207
ガラス 0.0178446390768 0.300691716649
ドアウエザーストリップ 0.000722724763583 0.000722724763583
ロアトリム 0.000568801123721 0.000568801123721
リップ 0.0269325769958 0.0377859047107
オープンカー 0.00115804882683 0.00115804882683
荷台 0.0142920774507 0.141010900991
錠 0.09241850049 0.121594889311
チルトリンク 0.000777916525051 0.000777916525051
挟み込み 0.0236844575343 0.030521624547
ロック 0.0248665249291 0.13078088781
スライド 0.0620039763459 0.0703696363524
チルトアップ 0.00149197756802 0.00399760417342
レール 0.0329299246068 0.190931049694
表皮 0.0113450531966 0.276198265344
ザストリップ 0.000925264461535 0.000925264461535
ウエルト 0.000654978612474 0.00843527398826
キャブ 0.00155974553824 0.00930047958704
ブラケット 0.0192267150448 0.0440296929156
ガイドウェッジ 0.000495533487335 0.000689539151153
イドドア 0.00150856296459 0.00150856296459
インナー 0.00584794707489 0.030029102952
グロメット 0.00587212467602 0.0317919711128
レインガータ 0.000531924960847 0.000531924960847
ヒンジ 0.0146827716228 0.136151286754
部材 0.0271584553618 0.126389704696
サッシ 0.0288787308464 0.0296601890946
取付 0.00149779039735 0.0711195754847
エスカッション 0.000572761425247 0.000877047925218
全開 0.0117507785198 0.013292769048
スイッチ 0.0153125174347 0.180229474701
アッパ 0.00574979272515 0.0130471105466
ミッドパネル 0.00044796683749 0.00044796683749
ウィンドレギュレータ 0.000951916647261 0.00111968949374
ガイド 0.0524829478649 0.0950799171577
助手 0.0118690402877 0.0118690402877
遮光 0.00842810177169 0.0741944770853
イコライザアーム 0.000991689696404 0.00138072254691
トランクリッド 0.000522990362433 0.00211569060989
リテーナ 0.00175239243162 0.0138205414066





/home/ec2-user/data/classinfo/B/B60M.txt.fq.tfidfn 83
トロリ 0.000642666256301 0.140590579356
架線 0.000526469526636 0.0802205062237
トロリー 0.000408762733177 0.0759495916396
変電 0.00273181126362 0.0411500596794
給電 0.0272280752106 0.174025896197
電車 0.000855240294953 0.0674801070498
列車 0.00477519638577 0.328879544995
テンションバランサ 1.24199801767e-05 0.0040911650818
饋 4.85470030947e-05 0.00556725108354
回生 0.0021498852749 0.0615814191699
受電 0.00671653886332 0.0179516837391
電鉄 8.02338711386e-05 0.00625126544513
線路 0.0196056200963 0.0964052427927
パンタグラフ 0.000459720019398 0.0274899583821
碍子 0.00907538307165 0.0418402739113
ＧＴＯ 0.00254394383223 0.00612654736776
電柱 0.00155791468669 0.0163790738305
力行 9.31632402407e-05 0.0109158308929
テッキ 4.10503223221e-05 0.00518782365718
鉄道 0.000492684225634 0.107502438248
電線 0.0493936089867 0.181294122728
のき 0.000178236895959 0.0191208324216
台車 0.015890454912 0.209672501428
超電導 0.0288588435604 0.0795326429873
電圧 0.107632381247 0.233265645056
架空 0.00480524826092 0.0221819283026
イーヤ 1.05871105803e-07 0.00125436343335
変圧 2.83236327874e-05 0.0283108988546
レール 0.0331722469788 0.190931049694
ピックアップ 0.000615171668292 0.0220559176645
舟 0.000743815487396 0.0159573530175
電流 0.128961408878 0.159469168098
セクションインシュレータ 6.2901984668e-08 0.000790620658478
高井田中 2.94279104265e-07 0.00204333035359
東日本旅客鉄道 2.9630600622e-05 0.00456803693241
鉄道総合技術研究所 3.82841063261e-05 0.00624201044934
ハンガイ 3.76210393572e-09 0.000767168305792
ハンガー 0.000403281279709 0.107028307278
継電器 0.000625595338435 0.0263656767325
南品川 0.000187083603884 0.00459243050965
軌道 0.00230035311495 0.250379493903
交流 0.0297436376048 0.068908865788
走行 0.0931142457024 0.1385068325
車両 0.0369147873629 0.17762073154
吊 0.00567820341296 0.0981405633055
電力 0.100284286867 0.10047691154
引金 0.000114296186398 0.0161682323643
東海旅客鉄道 6.00459208204e-05 0.00539800212969
リアクトル 0.00418910397591 0.00979315399966
絶縁 0.0514427766929 0.108256681796
回路 0.0225931001056 0.282110922751
セクション 0.000842999133944 0.0229479580065
線 0.0316046717281 0.211369865043
モノレール 0.00019866108283 0.0120649229183
ダイチャンバ 1.80818468885e-05 0.000910278119364
区間 0.00506299695354 0.0531779387699
剛体 0.000451181195629 0.0149562547097
軌条 7.99498160793e-05 0.041587155283
直流 0.0413573282647 0.0692380451897
短絡 0.00752070835632 0.0269937091606
ダブルイーヤ 5.98622517446e-07 0.000569478856619
サイリスタ 0.0026598040397 0.0430240213158
リッツ 0.000352419428587 0.00159043880244
インバータ 0.0166462547195 0.0478509477449
西日本旅客鉄道 2.09119864922e-05 0.00266146966834
本線 0.000322121507706 0.0354568250216
チョッパ 0.00391686632459 0.0107046898239
架台 0.0025200585821 0.0793242607454
電 0.0192836339779 0.140770861699
摩耗 0.00406488273683 0.0449483363112
金具 0.0142218351492 0.0490403769656
カテナ 3.57011628474e-05 0.00675941076619
過電圧 0.00323206189542 0.0176724569014
整流 0.016840353056 0.0969933780738
充電 0.187275097404 0.192477206375
三和 0.000487281160975 0.00587692487816
導体 0.0120798567858 0.0935791372244
新幹線 1.78414583118e-05 0.00426874743948
インダクタンス 0.00422703104428 0.0102441753746
ドロッパロッド 7.89592511429e-08 0.000348747845918
運行 0.000191919261267 0.0723533349793
機関車 7.38415420667e-05 0.0469244862319
パンタ 2.54199154307e-05 0.00240234458782
ハン 0.000773752879543 0.0341176919049
電源 0.0720266271479 0.113471610644
磁束 0.00258946841052 0.0308717719865
雷撃 0.000258450964916 0.00183482755429
日立電線 0.00158705492567 0.00244599776782
トロリーバス 9.10159974046e-07 0.000607696314774
コンデンサ 0.0719327558446 0.166055483203
車 0.0372847724275 0.0974028295579
ダイス 0.00167334538925 0.101351009117
検出 0.0162758312843 0.192873067925
懸垂 0.000961196729717 0.0278087264154
駅 0.000236984895592 0.213403650522
切替 0.00225366991288 0.0602011149504
皮剥 0.0004698564779 0.0193402870644
SB 0.0117961963185 0.42247719366
端子 0.0512479208929 0.231865522067
コア 0.00468196234669 0.063239763787





/home/ec2-user/data/classinfo/B/B41M.txt.fq.tfidfn 6
熱転写 0.00200521099477 0.072882269148
感熱 0.00354232581209 0.123292007902
インクジェット 0.000517972756723 0.0896758674544
インク 0.00243065045237 0.355148366616
受像 0.00261230594898 0.0525629624316
記録 0.0661982778499 0.47915616601
発色 0.00205962861868 0.0786949372272
転写 0.0885015411928 0.209143981044
フルオラン 0.000325457886302 0.0159594209306
染料 0.00476295989396 0.145875621256
色素 0.00128153321557 0.0869953621213
印字 0.0104782297223 0.170481854242
アニリノフルオラン 0.000184211235064 0.00801851520887
画像 0.0694917048755 0.47902156124
ジエチルアミノ 0.000100019469526 0.0123345698399
インキ 0.00588134501448 0.207552200494
ロイコ 0.00026721435895 0.00948842561726
マゼンタ 0.00158442613342 0.00695213109278
顔料 0.0114581225649 0.162491730388
印刷 2.79413193115e-05 0.321848351588
メチル 0.0162140108254 0.0574803564801
層 0.118699765631 0.293957387377
ヒドロキシ 0.00414014707985 0.0245426261445
アニリノ 1.16754805998e-05 0.0058075894301
印画 7.6919980316e-05 0.0238033277661
インクリボン 0.000806625245471 0.0213682137378
アルキル 0.025912334385 0.0511980140471
エチル 0.0254775812845 0.053529270006
光熱 0.000310922936909 0.0109267936805
イエロー 0.00177906935472 0.00851386097211
ジメチルアミノフェニル 3.6459392238e-05 0.00407883381162
偽造 0.000329799510987 0.0569400912792
用紙 0.0602856007853 0.121421458576
サリチル酸 0.000172227202543 0.0083571121742
ジアゾニウム 7.37895813756e-05 0.0044601350349
印刷物 3.89729424352e-05 0.0364228736255
ジアゾ 0.000148582626121 0.00700251770522
